Step,Max,Min,Average
50000.0,728.5438430136556,2.8090759574253847,375.9962612708034
100000.0,711.0986524031364,2.12918376375955,408.3054864449218
150000.0,730.9872447408038,4.554476251277273,514.2158014872297
200000.0,730.284774226544,11.8970788044471,501.3520557256396
250000.0,729.4549224941029,500.5791397234711,655.0247344484866
300000.0,731.4575751149213,152.3767703105833,594.4483787963273
350000.0,710.1522061693054,8.807073163588523,463.7320961296609
400000.0,732.6965617744961,1.6057632317960175,571.2075238152768
450000.0,710.4031774956542,3.2886934406360973,520.128851842685
500000.0,734.1380694086051,0.8043801528121475,435.0541188474458
550000.0,731.2181174575561,444.0675929233026,623.7027091479589
600000.0,709.9014788733243,638.6186026928364,681.4624769867339
650000.0,714.3707249131159,7.037723698699908,581.2907676648938
700000.0,725.9126639770316,45.59599917439931,539.403355865086
750000.0,726.9035539669557,6.58649225161986,509.6400180112345
800000.0,712.8651169654612,10.725302291661816,445.8669131124656
850000.0,708.3625672605192,1.017148505895347,258.1290087672116
900000.0,733.3827348528948,0.8254375703323874,394.0544946165527
950000.0,322.80673793699106,0.9209516963422048,126.98805619598023
1000000.0,634.69688320235,1.4059183427456026,300.2346906951368
