Step,Max,Min,Average
50000.0,1224.276685833931,31.90386962145567,640.9815254572779
100000.0,1422.8943267464638,921.2052497118711,1211.9894604356027
150000.0,1385.1274356544018,787.2818643003702,1177.489021185902
200000.0,1382.863013446331,710.0937555842102,1144.8183381257113
250000.0,1399.762384802103,655.3327868878841,1219.3688853987958
300000.0,1413.0913826823237,125.62477431446314,1040.355504845828
350000.0,1450.7574773430824,764.1646220237017,1268.054384688288
400000.0,1447.641819447279,4.243954379227944,1163.9805805881624
450000.0,1463.3028378784657,968.5673257559538,1283.4458420452197
500000.0,1386.506732262671,542.9558370225132,1185.4704892167822
550000.0,1448.5717408880591,817.512283526361,1272.3393372636287
600000.0,1474.4583996236324,1027.0516922026873,1244.7868919315283
650000.0,1459.489832818508,1200.9865623861551,1313.882247533556
700000.0,1413.041122317314,1095.1519068181517,1322.1785954494262
750000.0,1394.716644297354,795.1851184368134,1161.4816546833142
800000.0,1393.8440867774189,886.7996509224176,1217.129556281562
850000.0,1422.212555706501,1141.4389071143232,1294.3994109852706
