Step,Max,Min,Average
10000.0,764.6022342294455,224.57107371091843,496.3461232144385
20000.0,878.9647287726402,15.358823609538376,575.749480984034
30000.0,1334.6932708323002,526.5043985382654,1093.5970676050522
40000.0,1304.73881629901,730.3334887102246,1046.5716171732638
50000.0,1429.18979896605,754.9472196428105,1076.7103360546753
60000.0,1322.974427493289,705.557043639943,1063.8121163487435
70000.0,1455.9723518490791,827.1458380892873,1247.7900590588572
80000.0,1435.253997296095,946.7630500192754,1219.109064727975
90000.0,1370.4634749665856,668.752673140727,1157.7730048616418
100000.0,1389.256640759064,774.5771196484566,1197.8776094411269
110000.0,1399.5783696770668,923.625837052241,1151.2416194031714
120000.0,1372.310292318463,880.1599281446543,1224.396247726609
130000.0,1334.6007494181397,570.847002029419,1154.9812954068184
140000.0,1416.5561758577824,651.0883910097182,1151.1885925409383
150000.0,1417.701739102602,6.216855802107602,1017.7124459020328
160000.0,1421.129742205143,1141.039022706449,1293.0387028455734
170000.0,1461.1743344515562,615.0541214719415,1135.9489665905712
180000.0,1409.9338915273547,7.011712666135281,1085.5335664410609
190000.0,1402.7657049186528,682.4911692999303,1224.085615709587
200000.0,1436.5627171695232,886.8053236939013,1304.250110369548
